number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200.0,50.0,10.0,0.45,0.75,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.6,12.4,0.0,0.0,0.0,0.0,432.0,110.6,2.4,0.0,0.0,0.0,180.0,307.0,24.0,0.0,0.0,0.0,11.8,114.4,33.8,0.0,0.0,0.0,0.0,11.4,3.6,0.0
200.0,50.0,10.0,0.45,0.75,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.2,12.6,0.2,0.0,0.0,0.0,433.8,109.0,2.2,0.0,0.0,0.0,184.8,305.2,21.0,0.0,0.0,0.0,11.8,115.2,33.0,0.0,0.0,0.0,0.0,11.4,3.6,0.0
200.0,50.0,10.0,0.45,0.75,2.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.6,12.4,0.0,0.0,0.0,0.0,429.4,112.8,2.8,0.0,0.0,0.0,182.8,303.0,25.2,0.0,0.0,0.0,13.6,109.8,36.6,0.0,0.0,0.0,0.0,11.0,4.0,0.0
200.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.4,12.6,0.0,0.0,0.0,0.0,437.2,105.0,2.8,0.0,0.0,0.0,188.6,299.0,23.4,0.0,0.0,0.0,12.0,113.4,34.6,0.0,0.0,0.0,0.0,11.0,4.0,0.0
