number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200,10,10,0.5,0.5,3,486,14,16,484
200,10,10,0.5,0.5,3,487,13,17,483
200,10,10,0.5,0.5,3,490,10,13,487
200,10,10,0.5,0.5,3,482,18,8,492
200,10,10,0.5,0.5,3,490,11,20,480
500,10,10,0.5,0.5,3,488,12,17,483
500,10,10,0.5,0.5,3,488,12,17,483
500,10,10,0.5,0.5,3,490,10,13,487
500,10,10,0.5,0.5,3,483,17,11,489
500,10,10,0.5,0.5,3,489,12,20,480
500,10,10,0.5,0.5,3,488,12,16,484
500,10,10,0.5,0.5,3,487,13,17,483
500,10,10,0.5,0.5,3,489,11,13,487
500,10,10,0.5,0.5,3,481,19,9,491
500,10,10,0.5,0.5,3,489,12,21,479
500,10,10,0.5,0.5,3,487,13,16,484
500,10,10,0.5,0.5,3,487,13,17,483
500,10,10,0.5,0.5,3,490,10,13,487
500,10,10,0.5,0.5,3,482,18,11,489
500,10,10,0.5,0.5,3,489,12,20,480
750,10,10,0.5,0.5,3,488,12,17,483
750,10,10,0.5,0.5,3,488,12,17,483
750,10,10,0.5,0.5,3,490,10,13,487
750,10,10,0.5,0.5,3,482,18,9,491
750,10,10,0.5,0.5,3,489,12,21,479
750,10,10,0.5,0.5,3,487,13,15,485
750,10,10,0.5,0.5,3,488,12,17,483
750,10,10,0.5,0.5,3,490,10,14,486
750,10,10,0.5,0.5,3,482,18,9,491
750,10,10,0.5,0.5,3,489,12,21,479
750,10,10,0.5,0.5,3,486,14,15,485
750,10,10,0.5,0.5,3,488,12,17,483
750,10,10,0.5,0.5,3,490,10,13,487
750,10,10,0.5,0.5,3,481,19,11,489
750,10,10,0.5,0.5,3,489,12,21,479
