number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
50,50,10,0.45,0.75,3,0,0,8,0,0,0,0,0,35,8,0,0,0,0,453,90,2,0,0,0,197,291,23,0,0,0,18,108,34,0,0,0,0,12,3,0
100,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,446,98,1,0,0,0,193,298,20,0,0,0,13,125,22,0,0,0,0,12,3,0
100,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,454,90,1,0,0,0,197,298,16,0,0,0,15,117,28,0,0,0,0,12,3,0
100,50,10,0.45,0.75,3,0,0,8,0,0,0,0,0,34,8,1,0,0,0,439,106,0,0,0,0,184,311,16,0,0,0,12,123,25,0,0,0,0,11,4,0
100,50,10,0.45,0.75,3,0,0,8,0,0,0,0,0,34,9,0,0,0,0,459,86,0,0,0,0,198,295,18,0,0,0,17,117,26,0,0,0,0,11,4,0
100,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,460,83,2,0,0,0,227,258,26,0,0,0,17,114,29,0,0,0,0,11,4,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,9,1,0,0,0,443,100,2,0,0,0,191,299,21,0,0,0,15,118,27,0,0,0,0,11,4,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,453,90,2,0,0,0,199,300,12,0,0,0,13,118,29,0,0,0,0,11,4,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,456,87,2,0,0,0,187,311,13,0,0,0,15,117,28,0,0,0,0,12,3,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,35,8,0,0,0,0,453,92,0,0,0,0,202,295,14,0,0,0,20,119,21,0,0,0,0,13,2,0
200,50,10,0.45,0.75,3,0,0,8,0,0,0,0,0,32,11,0,0,0,0,456,87,2,0,0,0,205,293,13,0,0,0,15,119,26,0,0,0,0,12,3,0
500,50,10,0.45,0.75,3,0,0,8,0,0,0,0,0,33,10,0,0,0,0,465,80,0,0,0,0,193,302,16,0,0,0,12,120,28,0,0,0,0,11,4,0
500,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,457,87,1,0,0,0,201,298,12,0,0,0,14,121,25,0,0,0,0,11,4,0
500,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,456,89,0,0,0,0,199,297,15,0,0,0,19,114,27,0,0,0,0,12,3,0
500,50,10,0.45,0.75,3,0,0,8,0,0,0,0,0,32,11,0,0,0,0,457,87,1,0,0,0,188,311,12,0,0,0,15,116,29,0,0,0,0,12,3,0
500,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,456,88,1,0,0,0,184,314,13,0,0,0,12,121,27,0,0,0,0,12,3,0
