number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
50.0,10.0,10.0,0.0,0.5,3.0,95.13333333333334,6.666666666666667,3.4,158.6
50.0,10.0,10.0,0.25,0.5,3.0,96.4,5.4,2.8,159.2
50.0,10.0,10.0,0.5,0.5,3.0,93.86666666666666,7.933333333333334,3.4,158.6
50.0,10.0,10.0,0.75,0.5,3.0,94.26666666666667,7.533333333333333,3.066666666666667,158.93333333333334
50.0,10.0,10.0,1.0,0.5,3.0,95.73333333333333,6.066666666666666,2.866666666666666,159.13333333333333
