number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
50,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,436,107,2,0,0,0,199,291,21,0,0,0,14,124,22,0,0,0,0,12,3,0
100,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,32,10,1,0,0,0,434,109,2,0,0,0,184,295,32,0,0,0,14,105,41,0,0,0,0,9,6,0
100,50,10,0.45,0.75,3,0,0,8,0,0,0,0,0,29,14,0,0,0,0,440,103,2,0,0,0,186,300,25,0,0,0,14,116,30,0,0,0,0,11,4,0
100,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,427,116,2,0,0,0,179,306,26,0,0,0,13,113,34,0,0,0,0,11,4,0
100,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,31,12,0,0,0,0,427,115,3,0,0,0,184,306,21,0,0,0,16,114,30,0,0,0,0,12,3,0
100,50,10,0.45,0.75,3,0,0,6,2,0,0,0,0,30,13,0,0,0,0,428,116,1,0,0,0,185,302,24,0,0,0,13,116,31,0,0,0,0,12,3,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,442,100,3,0,0,0,191,295,25,0,0,0,14,116,30,0,0,0,0,13,2,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,446,97,2,0,0,0,181,305,25,0,0,0,9,118,33,0,0,0,0,11,4,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,12,1,0,0,0,439,104,2,0,0,0,178,309,24,0,0,0,15,112,33,0,0,0,0,11,4,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,440,103,2,0,0,0,191,295,25,0,0,0,15,110,35,0,0,0,0,10,5,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,431,112,2,0,0,0,189,300,22,0,0,0,14,115,31,0,0,0,0,11,4,0
500,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,429,113,3,0,0,0,177,311,23,0,0,0,12,114,34,0,0,0,0,12,3,0
500,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,440,102,3,0,0,0,188,299,24,0,0,0,11,115,34,0,0,0,0,12,3,0
500,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,437,105,3,0,0,0,184,302,25,0,0,0,10,116,34,0,0,0,0,12,3,0
500,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,436,107,2,0,0,0,191,298,22,0,0,0,13,113,34,0,0,0,0,12,3,0
500,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,435,108,2,0,0,0,178,310,23,0,0,0,10,116,34,0,0,0,0,11,4,0
